,券商,買進,賣出,買超,均買價,均賣價,券商,買進,賣出,買超,均買價,均賣價
249,永豐板橋,6.0,2.0,4.0,105.0,105.0,台企建成,0.0,2.0,-2.0,0.0,105.0
250,元大敦化,6.0,2.0,4.0,105.0,105.0,元大清水,3.0,5.0,-2.0,104.67,104.9
251,美好苗栗,10.0,6.0,4.0,105.0,105.0,華南鶯歌,1.0,3.0,-2.0,105.0,105.0
252,凱基士林,13.0,9.0,4.0,104.85,105.0,?亞網路,0.0,2.0,-2.0,105.5,104.75
253,統一平鎮,4.0,0.0,4.0,105.12,0.0,兆豐南京,10.01,12.0,-1.99,105.0,105.08
254,統一內湖,5.0,1.0,4.0,105.2,105.0,兆豐竹北,0.01,2.0,-1.99,105.0,105.0
255,國票新莊,9.0,5.0,4.0,104.72,105.0,凱基台中,0.03,2.0,-1.97,105.0,105.0
256,元大萬華,10.0,6.05,3.95,105.0,105.0,合庫桃園,1.03,3.0,-1.97,104.51,105.0
257,元大南京,8.0,4.05,3.95,104.56,104.75,元富敦南,25.05,27.0,-1.95,104.56,105.0
258,康和嘉義,4.0,0.06,3.94,104.75,105.0,合庫台中,14.1,16.0,-1.9,104.65,104.97
259,元大虎尾,5.03,1.1,3.93,105.0,105.0,元大新營,1.1,3.0,-1.9,104.59,105.0
260,元大桃興,9.02,5.1,3.92,105.11,105.11,元大竹山,0.1,2.0,-1.9,105.5,105.0
261,富邦基隆,5.0,1.1,3.9,104.9,105.45,兆豐彰化,3.0,4.86,-1.86,105.0,105.39
262,元大沙鹿,8.0,4.14,3.86,105.0,105.0,凱基埔墘,0.15,2.0,-1.85,105.0,105.25
263,華南楠梓,8.0,4.23,3.77,105.0,105.0,第一光復,1.2,3.0,-1.8,105.0,105.0
264,凱基新豐,4.5,1.0,3.5,105.0,105.0,台中銀,3.21,5.0,-1.79,104.72,104.9
265,元大林森,4.5,1.0,3.5,105.0,105.0,元大向上,2.0,3.7,-1.7,105.0,105.0
266,彰銀台中,10.5,7.0,3.5,105.05,105.0,元大東港,1.1,2.68,-1.58,105.45,105.0
267,統一新台中,16.1,12.68,3.42,104.97,104.84,元大鶯歌,1.5,3.0,-1.5,105.0,105.0
268,兆豐虎尾,9.3,6.0,3.3,105.32,105.0,元大竹科,7.23,8.59,-1.36,104.85,105.06
269,康和台中,21.22,18.0,3.22,104.74,104.97,新光台中,52.18,53.53,-1.34,104.83,105.0
270,凱基南崁,4.2,1.0,3.2,104.76,104.5,永豐羅東,7.1,8.4,-1.3,104.86,105.0
271,日盛三重,3.17,0.0,3.17,105.0,0.0,元大敦南,0.0,1.3,-1.3,0.0,105.0
272,元大汐止,12.11,9.01,3.1,104.92,105.0,元大城東,6.22,7.52,-1.3,105.08,104.67
273,群益土城,6.07,3.0,3.07,105.0,105.0,元大台中,2.76,4.02,-1.26,105.19,105.0
274,元富安南,5.03,2.0,3.03,105.0,105.0,群益天母,1.0,2.2,-1.2,105.0,105.0
275,元富彰化,5.02,2.0,3.02,104.9,105.25,永豐竹科,2.47,3.63,-1.16,105.05,105.0
276,元大民生,3.01,0.0,3.01,105.0,0.0,美好楊梅,4.0,5.15,-1.15,105.0,105.1
277,光和嘉義,5.0,2.0,3.0,104.7,105.25,元大路竹,5.02,6.14,-1.12,105.0,105.0
278,日盛永康,6.0,3.0,3.0,105.0,105.0,元大鑫永,0.0,1.11,-1.11,0.0,105.0
279,宏遠館前,3.0,0.0,3.0,105.0,0.0,企銀民雄,0.02,1.07,-1.04,105.0,105.02
280,大昌樹林,5.0,2.0,3.0,105.0,105.0,元大莒光,2.0,3.01,-1.01,104.75,105.0
281,凱基興隆,3.0,0.0,3.0,105.0,0.0,企銀太平,0.07,1.08,-1.01,105.0,105.0
282,兆豐嘉義,11.0,8.0,3.0,105.0,104.69,統一嘉義,1.0,2.0,-1.0,105.0,104.75
283,康和澎湖,4.0,1.0,3.0,105.0,104.5,美好中和,0.0,1.0,-1.0,0.0,105.0
284,永豐虎尾,3.0,0.0,3.0,105.0,0.0,元大員林,3.0,4.0,-1.0,104.83,105.0
285,企銀竹北,3.0,0.0,3.0,105.0,0.0,元大大甲,0.0,1.0,-1.0,0.0,105.0
286,華南頭份,3.0,0.0,3.0,104.83,0.0,致和東門,0.0,1.0,-1.0,0.0,105.0
287,凱基中壢,10.04,7.04,3.0,104.9,104.86,統一員林,0.0,1.0,-1.0,0.0,105.0
288,元富中壢,9.0,6.02,2.98,104.83,104.75,統一南京,1.0,2.0,-1.0,104.5,104.75
289,元富埔里,5.06,2.08,2.98,104.8,105.0,統一新營,1.0,2.0,-1.0,104.5,105.0
290,聯邦嘉義,5.0,2.03,2.97,105.0,105.0,聯邦高雄,0.0,1.0,-1.0,0.0,105.0
291,合　　庫,8.0,5.03,2.97,104.75,104.9,致和府前,0.0,1.0,-1.0,0.0,105.0
292,富邦三重,10.05,7.14,2.91,105.0,104.65,致和佳里,1.0,2.0,-1.0,105.0,105.0
293,中信託新,4.0,1.1,2.9,104.88,105.0,永全南崁,0.0,1.0,-1.0,0.0,105.0
294,凱基永華,13.0,10.2,2.8,104.96,104.71,華南敦南,0.0,1.0,-1.0,0.0,105.0
295,凱基台南,7.0,4.25,2.75,105.0,105.0,華南忠孝,2.0,3.0,-1.0,105.0,105.0
296,合庫嘉義,2.73,0.0,2.73,104.68,0.0,日盛大墩,3.0,4.0,-1.0,105.13,105.12
297,元大永春,12.7,10.0,2.7,104.61,105.05,兆豐寶成,11.0,12.0,-1.0,105.0,105.0
298,華南公誠,6.0,3.38,2.62,104.75,105.0,兆豐岡山,3.0,4.0,-1.0,105.0,105.0
299,元大樹林,9.7,7.1,2.6,104.9,104.86,兆豐永和,11.0,12.0,-1.0,105.0,105.42
300,大昌安康,2.6,0.0,2.6,105.0,0.0,日盛豐原,0.0,1.0,-1.0,0.0,104.5
301,凱基豐中,2.5,0.0,2.5,105.1,0.0,日茂埔里,0.0,1.0,-1.0,0.0,105.0
302,元大潮州,2.41,0.0,2.41,105.0,0.0,兆豐大同,3.0,4.0,-1.0,105.5,105.0
303,華南台中,4.57,2.19,2.37,104.89,105.0,光和高雄,1.0,2.0,-1.0,105.5,105.0
304,群益崇德,5.25,3.0,2.25,105.0,105.33,宏遠桃園,0.0,1.0,-1.0,0.0,105.0
305,華南嘉義,2.25,0.0,2.25,105.0,0.0,安泰大發,0.0,1.0,-1.0,0.0,105.0
306,華南板橋,34.2,32.0,2.2,104.56,105.0,土銀建國,1.0,2.0,-1.0,104.5,105.0
307,第一新竹,4.2,2.0,2.2,105.0,105.0,土銀士林,0.0,1.0,-1.0,0.0,105.0
308,元富緯城,4.2,2.0,2.2,104.88,105.0,土銀南港,1.0,2.0,-1.0,105.5,104.75
309,元大屏生,4.2,2.05,2.16,105.02,105.0,凱基嘉義,1.0,2.0,-1.0,105.5,105.0
310,凱基大直,2.15,0.0,2.15,104.77,0.0,凱基東勢,7.0,8.0,-1.0,105.0,104.69
311,臺銀新竹,5.13,3.0,2.13,104.81,105.0,盈溢籬子內,0.0,1.0,-1.0,0.0,105.5
312,永豐台中,5.2,3.1,2.11,105.0,105.32,永豐中壢,0.0,1.0,-1.0,0.0,105.0
313,元大古亭,4.08,2.0,2.08,105.0,105.0,華南苑裡,0.0,1.0,-1.0,0.0,105.0
314,日盛宜蘭,3.07,1.0,2.07,104.84,105.5,群益東門,3.1,4.1,-1.0,104.84,105.0
315,中信嘉義,8.07,6.0,2.07,105.0,105.0,兆豐天母,2.01,3.0,-0.99,105.0,104.83
316,台新屏東,3.06,1.0,2.05,105.0,105.0,元富新竹,0.02,1.0,-0.98,105.0,105.0
317,凱基敦北,12.05,10.0,2.05,104.96,105.0,兆豐中壢,2.02,3.0,-0.98,105.0,105.0
318,元大大統,4.05,2.0,2.05,104.88,105.0,統一土城,4.0,4.97,-0.97,104.75,105.0
319,凱基宜蘭,2.03,0.0,2.03,104.51,0.0,元富古亭,3.03,4.0,-0.97,105.0,105.0
320,華南桃園,2.01,0.0,2.01,105.0,0.0,中銀豐原,1.03,2.0,-0.97,105.0,105.0
321,群益新莊,3.01,1.0,2.01,105.0,105.0,凱基台東,2.05,3.0,-0.95,105.0,105.0
322,元大南勢,6.0,4.0,2.0,105.25,105.0,元大基隆,1.1,2.02,-0.92,105.0,105.0
323,統一仁愛,2.0,0.0,2.0,105.25,0.0,元大文心,2.1,3.0,-0.9,104.76,105.0
324,京城南京,2.0,0.0,2.0,105.0,0.0,國票長城,3.1,4.0,-0.9,105.0,105.12
325,企銀九如,2.0,0.0,2.0,105.0,0.0,國票南港,0.2,1.0,-0.8,105.0,105.0
326,富邦花蓮,3.0,1.0,2.0,105.17,105.0,凱基文心,1.21,2.0,-0.79,105.0,105.0
327,宏遠台中,2.0,0.0,2.0,104.5,0.0,凱基信義,0.0,0.78,-0.78,0.0,105.0
328,企銀豐原,2.0,0.0,2.0,105.0,0.0,美好高雄,0.24,1.0,-0.76,105.0,105.0
329,康和台南,10.0,8.0,2.0,105.05,104.81,永豐大園,1.25,2.0,-0.75,104.6,105.0
330,聯邦三重,3.0,1.0,2.0,104.67,105.0,亞東新竹,53.27,54.0,-0.73,104.79,105.0
331,土銀彰化,2.0,0.0,2.0,104.75,0.0,群益台北,0.3,1.0,-0.7,105.0,105.0
332,統一基隆,6.0,4.0,2.0,104.92,105.0,華南虎尾,17.1,17.8,-0.7,104.92,104.97
333,美好台中,2.0,0.0,2.0,105.25,0.0,華南小港,3.4,4.06,-0.66,105.0,105.13
334,第一稻埕,2.0,0.0,2.0,104.75,0.0,凱基市政,1.35,2.0,-0.65,105.0,105.0
335,合庫彰化,2.0,0.0,2.0,104.75,0.0,國泰忠孝,3.39,4.01,-0.62,105.0,104.63
336,德信和平,2.0,0.0,2.0,105.0,0.0,元大府城,1.41,2.02,-0.61,105.02,105.0
337,第一嘉義,3.0,1.0,2.0,105.0,105.0,企銀桃園,0.0,0.5,-0.5,0.0,105.0
338,統一台南,2.3,0.3,2.0,105.0,105.0,元大長庚,0.01,0.5,-0.49,105.0,105.0
339,凱基天母,2.0,0.01,1.99,104.75,105.0,元富高雄,1.0,1.45,-0.45,105.0,105.0
340,日盛三峽,2.0,0.01,1.99,105.0,105.0,群益南京,2.1,2.5,-0.4,105.0,105.0
341,亞東高雄,5.0,3.02,1.98,105.0,105.0,日盛竹北,1.0,1.25,-0.25,105.0,105.0
342,第一台中,5.0,3.1,1.9,105.2,105.0,華南彰化,26.21,26.45,-0.24,104.79,105.0
343,企銀台南,3.0,1.1,1.9,105.0,105.0,元富城東,8.2,8.42,-0.22,104.82,104.94
344,元大台南,3.83,2.0,1.83,105.0,105.0,國票台南,4.0,4.2,-0.2,104.88,105.0
345,高橋龍潭,39.0,37.2,1.8,105.0,104.99,國票北投,0.0,0.2,-0.2,0.0,105.0
346,華南中正,48.46,46.7,1.76,104.61,105.09,元大竹北,0.0,0.2,-0.2,0.0,105.0
347,華南麻豆,3.7,2.0,1.7,105.01,105.25,玉山桃園,1.0,1.2,-0.2,105.0,105.42
348,兆豐公益,8.2,6.5,1.7,104.76,104.62,永豐南投,1.0,1.1,-0.1,104.5,105.0
349,元富同大,2.67,1.0,1.67,104.98,105.0,第一員林,1.0,1.1,-0.1,105.5,104.55
350,永豐萬盛,5.61,4.0,1.61,105.0,105.0,凱基東門,6.0,6.1,-0.1,104.92,104.92
351,兆豐北高,14.45,13.0,1.45,104.9,105.0,第一中山,0.01,0.1,-0.09,105.0,105.0
352,第一新興,2.37,1.0,1.37,105.0,105.0,兆豐鹿港,3.91,4.0,-0.09,105.0,105.0
353,合庫高雄,8.46,7.1,1.36,104.76,105.0,永豐松山,7.0,7.08,-0.08,104.93,105.0
354,陽信石牌,12.3,11.0,1.3,105.0,105.0,玉山新竹,3.02,3.1,-0.08,104.83,104.84
355,統一汐止,1.3,0.0,1.3,105.0,0.0,元富西松,1.0,1.01,-0.01,105.0,105.0
356,元大福營,4.3,3.0,1.3,105.0,105.0,凱基羅東,1.0,1.01,-0.01,105.0,105.0
357,富邦員林,4.3,3.0,1.3,104.65,105.0,合庫基隆,16.0,16.01,-0.01,104.84,105.0
358,凱基汐止,3.0,1.74,1.26,105.0,105.0,第一彰化,2.0,2.0,-0.0,104.75,105.0
359,元大大益,5.04,3.8,1.24,105.0,104.87,,,,,,
360,富邦南屯,6.23,5.0,1.23,104.76,105.2,,,,,,
361,凱基北門,2.4,1.19,1.21,105.21,105.0,,,,,,
362,華南東勢,1.2,0.0,1.2,105.0,0.0,,,,,,
363,大昌新竹,2.11,1.0,1.11,105.0,105.0,,,,,,
364,兆豐三民,3.11,2.0,1.11,105.0,104.75,,,,,,
365,高橋內壢,1.1,0.0,1.1,105.45,0.0,,,,,,
366,永全,2.1,1.0,1.1,105.0,104.5,,,,,,
367,玉山士林,2.12,1.03,1.09,105.0,105.0,,,,,,
368,元富佳里,4.16,3.1,1.06,104.88,105.0,,,,,,
369,凱基內湖,1.05,0.0,1.05,105.0,0.0,,,,,,
370,富邦新店,8.05,7.0,1.05,105.06,104.93,,,,,,
371,日盛信義,1.13,0.1,1.03,105.0,105.0,,,,,,
372,永豐豐原,1.02,0.0,1.02,105.0,105.0,,,,,,
373,元大羅東,6.0,5.0,1.0,105.0,105.0,,,,,,
374,合庫三重,1.0,0.0,1.0,105.0,0.0,,,,,,
375,凱基新店,6.0,5.0,1.0,105.0,105.0,,,,,,
376,凱基頭份,1.0,0.0,1.0,104.5,0.0,,,,,,
377,致和高雄,2.0,1.0,1.0,104.5,104.5,,,,,,
378,國票天祥,3.0,2.0,1.0,104.83,105.0,,,,,,
379,致和崇德,1.0,0.0,1.0,105.0,0.0,,,,,,
380,群益宜蘭,4.0,3.0,1.0,105.0,105.17,,,,,,
381,聯邦忠孝,2.0,1.0,1.0,105.0,105.0,,,,,,
382,聯邦大業,1.0,0.0,1.0,105.0,0.0,,,,,,
383,元富烏日,3.0,2.0,1.0,105.0,105.0,,,,,,
384,國票嘉義,1.0,0.0,1.0,105.0,0.0,,,,,,
385,兆豐埔墘,3.0,2.0,1.0,104.5,105.0,,,,,,
386,日茂南投,4.0,3.0,1.0,105.0,105.0,,,,,,
387,中信託永,7.0,6.0,1.0,104.79,105.0,,,,,,
388,福邦,1.0,0.0,1.0,105.5,0.0,,,,,,
389,土銀新竹,1.0,0.0,1.0,105.0,0.0,,,,,,
390,土銀玉里,5.0,4.0,1.0,105.0,105.0,,,,,,
391,土銀白河,3.0,2.0,1.0,105.0,105.0,,,,,,
392,土銀高雄,4.0,3.0,1.0,105.0,105.0,,,,,,
393,華南新莊,1.0,0.0,1.0,105.0,0.0,,,,,,
394,宏遠民生,1.0,0.0,1.0,105.0,0.0,,,,,,
395,企銀嘉義,1.0,0.0,1.0,104.5,0.0,,,,,,
396,宏遠高雄,3.0,2.0,1.0,104.83,105.0,,,,,,
397,華南苗栗,3.0,2.0,1.0,105.0,105.0,,,,,,
398,永豐古亭,1.0,0.0,1.0,105.0,0.0,,,,,,
399,華南世貿,4.0,3.01,0.99,104.5,105.17,,,,,,
400,群益台南,1.0,0.01,0.99,105.0,105.0,,,,,,
401,統一板橋,1.06,0.1,0.96,105.0,105.0,,,,,,
402,致和金華,1.0,0.05,0.95,104.5,105.0,,,,,,
403,群益板橋,1.0,0.05,0.95,105.0,105.0,,,,,,
404,富邦左營,3.01,2.06,0.95,105.17,105.01,,,,,,
405,日盛新竹,2.0,1.06,0.94,105.0,105.0,,,,,,
406,日盛復興,1.0,0.1,0.9,105.0,105.0,,,,,,
407,元大苑裡,4.0,3.14,0.86,105.0,105.0,,,,,,
408,華南大安,2.1,1.24,0.86,104.76,105.0,,,,,,
409,群益開元,4.0,3.15,0.85,104.62,104.82,,,,,,
410,元大永寧,3.02,2.2,0.82,105.0,105.0,,,,,,
411,統一竹南,1.0,0.2,0.8,105.0,105.0,,,,,,
412,玉山嘉義,7.04,6.3,0.75,104.86,105.08,,,,,,
413,元大板三,3.1,2.36,0.74,105.0,105.0,,,,,,
414,陽信高雄,22.7,22.0,0.7,104.52,105.0,,,,,,
415,中信松江,1.0,0.38,0.62,104.5,105.0,,,,,,
416,永豐高雄,1.07,0.5,0.57,105.0,105.5,,,,,,
417,元大南海,1.5,1.0,0.5,104.67,105.0,,,,,,
418,群益大興,2.55,2.1,0.45,104.8,105.0,,,,,,
419,永豐永康,0.3,0.0,0.3,105.0,0.0,,,,,,
420,凱基科園,3.28,3.0,0.28,104.85,105.0,,,,,,
421,永豐新竹,2.1,1.85,0.25,104.76,105.0,,,,,,
422,日盛內湖,1.24,1.0,0.24,105.4,105.0,,,,,,
423,元大三重,24.22,24.0,0.22,105.0,105.0,,,,,,
424,凱基大里,0.21,0.0,0.21,105.0,0.0,,,,,,
425,兆豐小港,5.2,5.0,0.2,105.0,105.1,,,,,,
426,兆豐大安,226.2,226.0,0.2,104.51,105.02,,,,,,
427,元大承德,1.25,1.1,0.15,105.0,105.0,,,,,,
428,凱基苗栗,5.1,5.0,0.1,105.0,105.0,,,,,,
429,華南朴子,7.1,7.0,0.1,105.0,105.0,,,,,,
430,華南斗六,1.1,1.01,0.09,105.45,105.0,,,,,,
431,光和田中,0.08,0.0,0.08,105.0,0.0,,,,,,
432,元大大安,1.06,1.0,0.06,104.53,105.0,,,,,,
433,臺銀高雄,3.2,3.15,0.05,105.0,105.0,,,,,,
434,元大發財,5.02,5.0,0.02,104.8,105.1,,,,,,
435,兆豐內湖,1.02,1.0,0.02,104.51,105.0,,,,,,
436,富邦竹北,0.02,0.01,0.01,105.5,105.0,,,,,,
437,永豐中盛,4.01,4.0,0.01,105.12,104.88,,,,,,
438,元富虎尾,0.03,0.02,0.01,105.0,105.0,,,,,,
439,統一高雄,7.01,7.0,0.01,104.86,105.0,,,,,,
440,元大木柵,2.0,2.0,0.0,105.0,105.0,,,,,,
441,美好台南,1.0,1.0,0.0,105.0,105.0,,,,,,
442,康和板橋,8.0,8.0,0.0,104.88,105.0,,,,,,
443,兆豐忠孝,1.0,1.0,0.0,105.0,105.0,,,,,,
444,高橋中壢,1.0,1.0,0.0,105.0,104.5,,,,,,
445,第一中壢,2.0,2.0,0.0,105.0,105.0,,,,,,
446,永豐桃盛,1.02,1.02,0.0,105.0,105.0,,,,,,
447,群益新竹,4.0,4.0,0.0,105.0,105.0,,,,,,
448,豐農,1.0,1.0,0.0,105.0,105.0,,,,,,
449,第一安和,1.0,1.0,0.0,105.0,105.0,,,,,,
450,永豐信義,1.0,1.0,0.0,105.0,105.0,,,,,,
451,光和,6.0,6.0,0.0,105.08,105.0,,,,,,
452,光和和美,3.0,3.0,0.0,105.0,105.0,,,,,,
453,致和,3.0,3.0,0.0,105.17,105.0,,,,,,
454,凱基湖口,1.0,1.0,0.0,105.0,105.0,,,,,,
455,元大竹東,10.0,10.0,0.0,105.0,105.0,,,,,,
456,康和屏東,30.0,30.0,0.0,105.0,105.0,,,,,,
457,群益內湖,1.0,1.0,0.0,104.5,105.0,,,,,,
458,元大新生,1.0,1.0,0.0,105.0,105.0,,,,,,
459,元富吉利,1.0,1.0,0.0,105.0,105.0,,,,,,
460,凱基鳳山,5.0,5.0,0.0,105.0,104.8,,,,,,
461,宏遠中和,1.0,1.0,0.0,105.0,104.5,,,,,,
462,國票中正,2.0,2.0,0.0,104.75,105.5,,,,,,
463,土　　銀,2.0,2.0,0.0,104.75,105.0,,,,,,
464,國票中港,1.0,1.0,0.0,105.0,104.5,,,,,,
465,國票敦北,54.0,54.0,0.0,105.0,105.0,,,,,,
466,?亞,1.0,1.0,0.0,105.0,105.0,,,,,,
