,券商,買進,賣出,買超,均買價,均賣價,券商,買進,賣出,買超,均買價,均賣價
57,元大六合,362.33,332.19,30.14,105.0,105.1,台企三民,0.0,15.0,-15.0,0.0,105.5
58,凱基城中,40.0,10.0,30.0,104.5,105.0,新百王,4.06,19.0,-14.94,104.51,104.95
59,企銀北高,30.0,0.0,30.0,105.0,0.0,元大八德,0.0,14.58,-14.58,0.0,104.86
60,企銀台中,44.0,15.0,29.0,104.83,105.0,凱基民權,3.0,17.0,-14.0,105.0,105.0
61,元大太平,33.02,4.05,28.97,104.89,105.0,元大林園,1.0,15.0,-14.0,105.0,105.0
62,統一松江,57.1,28.34,28.76,104.64,104.86,元大西門,4.02,18.0,-13.98,104.88,104.94
63,群益鳳山,31.4,4.0,27.4,105.05,105.0,日盛花蓮,5.2,19.0,-13.8,104.9,104.71
64,元大斗信,29.3,2.27,27.03,105.0,105.0,凱基三重,15.0,28.0,-13.0,104.93,104.98
65,群益中壢,26.38,1.0,25.38,105.04,105.0,合庫自強,1.0,14.0,-13.0,104.5,105.0
66,日盛樹林,35.0,10.0,25.0,104.73,105.0,元大景美,1.08,14.05,-12.98,105.0,104.64
67,日盛新莊,26.0,1.0,25.0,105.02,105.0,元富桃園,0.08,12.0,-11.92,105.0,104.92
68,富邦高雄,33.03,9.02,24.01,104.88,105.0,臺銀臺南,16.1,28.0,-11.9,104.57,105.0
69,元大博愛,28.17,5.12,23.05,104.96,105.0,玉山城中,7.1,19.0,-11.9,104.93,104.97
70,元大東泰,38.19,15.2,22.99,104.99,105.0,日盛嘉義,1.2,13.0,-11.8,104.58,104.85
71,永豐桃園,23.08,1.0,22.08,105.0,105.0,兆豐中港,7.22,19.0,-11.78,104.72,105.03
72,兆豐新竹,26.0,5.0,21.0,105.02,105.0,元大北府,4.03,15.29,-11.26,104.88,105.07
73,國票中和,24.0,3.0,21.0,104.56,105.0,台新台中,15.14,26.26,-11.11,104.93,105.0
74,日盛板橋,31.1,11.0,20.1,104.98,104.82,群益丹鳳,5.0,16.01,-11.01,105.0,105.03
75,元富世貿,21.1,1.0,20.1,104.53,105.0,凱基大安,12.0,23.0,-11.0,104.96,105.0
76,凱基板橋,22.0,2.25,19.75,104.98,104.78,兆豐民生,1.0,12.0,-11.0,104.5,105.04
77,富邦嘉義,25.65,6.0,19.65,104.93,104.92,日盛南京,0.0,11.0,-11.0,0.0,105.0
78,富邦台中,36.35,16.72,19.63,105.04,105.0,元大板橋,1.1,12.0,-10.9,104.55,105.0
79,富邦台北,29.68,10.35,19.33,104.82,105.0,日盛北高,3.1,14.0,-10.9,105.16,104.86
80,永豐屏東,30.0,11.0,19.0,105.0,105.0,凱基長庚,33.06,43.1,-10.04,104.92,104.87
81,日盛龍潭,19.17,1.0,18.17,105.44,105.0,統一桃園,1.0,11.0,-10.0,105.0,105.0
82,群益士林,23.0,5.0,18.0,105.22,105.3,國票南京,0.0,10.0,-10.0,0.0,105.0
83,元大士林,21.0,3.02,17.98,104.88,105.0,台新左楠,5.1,15.06,-9.96,104.71,105.0
84,永興,18.0,0.1,17.9,104.69,105.0,華南淡水,1.11,11.0,-9.89,105.05,105.18
85,元大前金,20.13,3.04,17.09,105.0,105.0,元富花蓮,1.35,11.1,-9.75,105.0,105.0
86,永豐博愛,19.0,2.0,17.0,104.66,105.0,元富文心,8.3,18.0,-9.7,104.7,105.0
87,元大左營,22.0,5.0,17.0,104.77,105.0,元大信義,1.0,10.02,-9.02,104.5,105.0
88,新光新竹,17.1,0.2,16.9,104.97,105.0,永豐南京,13.0,22.0,-9.0,104.58,105.0
89,群益三民,28.01,11.21,16.8,104.96,105.0,凱基三峽,6.0,15.0,-9.0,104.92,105.0
90,凱基高雄,22.63,6.0,16.63,104.93,105.0,華南內壢,0.05,9.0,-8.95,105.0,105.0
91,凱基虎尾,17.1,1.0,16.1,105.03,105.0,凱基三多,3.1,12.0,-8.9,105.0,105.0
92,元大龍潭,19.04,3.0,16.04,105.34,104.67,臺銀民權,29.24,38.1,-8.86,104.79,105.0
93,元大新盛,25.1,9.1,16.0,104.98,105.27,富邦台南,6.24,15.06,-8.82,104.92,104.97
94,元大南屯,20.01,4.1,15.91,104.8,105.0,元大館前,2.4,11.1,-8.7,105.27,105.0
95,日盛,19.1,3.61,15.49,105.05,105.03,元大竹南,0.6,9.0,-8.4,105.0,105.0
96,兆豐新營,30.1,15.0,15.1,104.98,105.0,臺銀鳳山,13.1,21.48,-8.37,104.96,105.0
97,第一華江,15.1,0.0,15.1,105.0,0.0,元大雙和,7.7,16.0,-8.3,104.94,104.94
98,群益永和,28.0,13.0,15.0,104.91,105.0,元大新中,10.11,18.21,-8.1,105.15,104.89
99,第一台南,53.1,38.15,14.95,104.82,105.0,元大佳里,4.25,12.32,-8.07,104.76,105.0
